wp_id,task_id,subject_match,description_raw_match,description_text_match,description_class,status_match,op_status,odoo_stage,project_match,parent_match,assignee_match_or_not_supported,dates_match_or_not_supported,priority_match_or_not_supported,op_sync_state,op_last_error,duplicate,misplaced,overall_ok,notes
208,45,True,True,True,formatting_only,True,In progress,In Progress,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
209,202,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
210,203,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
211,204,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
212,205,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
213,206,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
214,207,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
215,208,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
216,209,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
217,210,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
218,211,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
224,46,True,True,True,formatting_only,True,New,New,True,True,both_empty,both_empty,present,synced,,False,False,True,attachments_op=19:Not synchronized by design; description_formatting_only(<p> wrapper vs converter)
225,166,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
226,167,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
227,168,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
228,169,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
229,170,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
230,171,True,True,True,formatting_only,True,Closed,Done,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
328,340,True,True,True,formatting_only,True,New,New,True,True,odoo_only,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter); assignee:odoo_only
329,341,True,True,True,formatting_only,True,New,New,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
330,342,True,True,True,formatting_only,True,New,New,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
331,343,True,True,True,formatting_only,True,New,New,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
332,344,True,True,True,formatting_only,True,New,New,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
333,345,True,True,True,formatting_only,True,New,New,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
334,346,True,True,True,formatting_only,True,New,New,True,True,both_empty,both_empty,present,synced,,False,False,True,description_formatting_only(<p> wrapper vs converter)
335,347,True,True,True,formatting_only,True,New,New,True,True,both_empty,both_empty,present,synced,,False,False,True,attachments_op=31:Not synchronized by design; description_formatting_only(<p> wrapper vs converter)
341,353,True,True,True,formatting_only,True,New,New,True,True,both_empty,both_empty,present,synced,,False,False,True,attachments_op=8:Not synchronized by design; description_formatting_only(<p> wrapper vs converter)
